shipment_id,ship_date,delivery_date,carrier,mode,origin_city,origin_state,destination_city,destination_state,distance_miles,promised_days,actual_days,delayed_flag,shipping_cost,customer_segment
SHP000044,2025-07-21,2025-07-28,XPO,Air,OHCity3,OH,PACity3,PA,961,6,7,1,1996.16,Manufacturing
SHP000045,2025-01-28,2025-01-30,XPO,LTL,AZCity1,AZ,FLCity1,FL,369,3,2,0,595.23,Retail
SHP000046,2025-12-10,2025-12-14,UPS Supply Chain,Air,AZCity2,AZ,PACity2,PA,1280,4,4,0,1099.28,Retail
SHP000047,2025-06-18,2025-06-25,XPO,Air,NJCity2,NJ,FLCity1,FL,1081,6,7,1,913.21,Retail
SHP000048,2025-02-12,2025-02-18,UPS Supply Chain,FTL,FLCity1,FL,AZCity1,AZ,2139,5,6,1,3535.39,Healthcare
SHP000049,2025-07-24,2025-07-29,XPO,Air,CACity1,CA,ILCity3,IL,1693,6,5,0,1403.91,Consumer
SHP000050,2025-07-19,2025-07-26,DHL Supply Chain,Air,ILCity1,IL,NCCity3,NC,692,4,7,1,809.25,Consumer
SHP000051,2025-03-13,2025-03-18,AIT Logistics Partner,Air,AZCity1,AZ,PACity1,PA,2472,6,5,0,4541.95,Retail
SHP000052,2025-02-23,2025-03-03,FedEx Freight,FTL,ILCity3,IL,FLCity1,FL,2367,5,8,1,2049.86,Industrial
SHP000053,2025-08-22,2025-08-24,AIT Logistics Partner,LTL,NJCity2,NJ,TXCity1,TX,2234,2,2,0,1979.02,Healthcare
SHP000054,2025-04-29,2025-05-06,AIT Logistics Partner,Intermodal,GACity1,GA,GACity3,GA,1646,4,7,1,1481.01,Manufacturing
SHP000055,2025-03-17,2025-03-22,UPS Supply Chain,Ground,CACity2,CA,NCCity1,NC,1326,4,5,1,2131.54,Industrial
SHP000056,2025-12-21,2025-12-27,XPO,LTL,NJCity2,NJ,CACity2,CA,1271,3,6,1,2188.07,Retail
SHP000057,2025-06-09,2025-06-14,FedEx Freight,FTL,PACity2,PA,GACity2,GA,151,2,5,1,177.65,Industrial
SHP000058,2025-02-08,2025-02-09,XPO,Air,GACity3,GA,GACity3,GA,2226,1,1,0,2538.42,Consumer
SHP000059,2025-12-27,2025-12-31,Old Dominion,LTL,NJCity1,NJ,CACity1,CA,2119,4,4,0,4168.11,Retail
SHP000060,2025-07-27,2025-07-30,XPO,Ground,OHCity2,OH,OHCity1,OH,1784,3,3,0,2224.91,Healthcare
SHP000061,2025-03-03,2025-03-05,FedEx Freight,LTL,FLCity2,FL,AZCity3,AZ,1267,3,2,0,1430.67,Retail
SHP000062,2025-05-21,2025-05-24,AIT Logistics Partner,Intermodal,FLCity3,FL,AZCity1,AZ,496,2,3,1,430.08,Manufacturing
SHP000063,2025-09-19,2025-09-23,Old Dominion,Ground,NJCity3,NJ,AZCity2,AZ,1609,4,4,0,2929.48,Consumer
SHP000064,2025-02-11,2025-02-15,UPS Supply Chain,Intermodal,PACity2,PA,GACity1,GA,1926,2,4,1,3080.42,Consumer
SHP000065,2025-08-30,2025-09-04,AIT Logistics Partner,Intermodal,ILCity2,IL,ILCity3,IL,1234,4,5,1,1464.89,Manufacturing
SHP000066,2025-10-13,2025-10-22,UPS Supply Chain,Ground,NJCity1,NJ,OHCity3,OH,570,7,9,1,579.99,Industrial
SHP000067,2025-08-20,2025-08-27,UPS Supply Chain,Air,PACity1,PA,GACity1,GA,1830,4,7,1,1796.1,Healthcare
SHP000068,2025-06-13,2025-06-17,UPS Supply Chain,Ground,PACity3,PA,CACity2,CA,1138,3,4,1,2107.76,Industrial
SHP000069,2025-04-18,2025-04-24,Old Dominion,Intermodal,AZCity3,AZ,PACity2,PA,1465,5,6,1,2604.4,Manufacturing
SHP000070,2025-11-19,2025-11-21,Old Dominion,LTL,PACity3,PA,PACity2,PA,1190,2,2,0,2339.33,Industrial
SHP000071,2025-03-07,2025-03-11,Old Dominion,Ground,NJCity1,NJ,TXCity2,TX,2018,2,4,1,4154.59,Consumer
SHP000072,2025-05-08,2025-05-09,AIT Logistics Partner,Ground,OHCity3,OH,OHCity3,OH,712,1,1,0,710.35,Industrial
SHP000073,2025-01-21,2025-01-23,FedEx Freight,Intermodal,CACity1,CA,PACity3,PA,1032,2,2,0,1589.48,Healthcare
SHP000074,2025-12-24,2025-12-26,DHL Supply Chain,Air,PACity2,PA,AZCity2,AZ,368,2,2,0,438.09,Manufacturing
SHP000075,2025-01-06,2025-01-13,XPO,Air,NCCity2,NC,TXCity3,TX,1966,6,7,1,2284.86,Manufacturing
SHP000076,2025-01-15,2025-01-21,Old Dominion,LTL,PACity1,PA,GACity2,GA,306,5,6,1,253.47,Manufacturing
SHP000077,2025-04-27,2025-05-01,XPO,LTL,AZCity1,AZ,FLCity1,FL,1464,5,4,0,2538.33,Healthcare
SHP000078,2025-04-16,2025-04-21,UPS Supply Chain,Air,PACity2,PA,CACity1,CA,1356,5,5,0,2434.85,Healthcare
SHP000079,2025-11-16,2025-11-21,AIT Logistics Partner,Ground,NJCity3,NJ,CACity1,CA,994,5,5,0,1421.99,Industrial
SHP000080,2025-01-13,2025-01-19,FedEx Freight,Air,TXCity2,TX,GACity2,GA,1781,6,6,0,1544.83,Healthcare
SHP000081,2025-03-26,2025-03-29,DHL Supply Chain,LTL,CACity1,CA,CACity2,CA,839,3,3,0,1382.85,Industrial
SHP000082,2025-08-15,2025-08-17,FedEx Freight,Intermodal,FLCity2,FL,FLCity1,FL,91,2,2,0,82.06,Consumer
SHP000083,2025-07-02,2025-07-08,Old Dominion,Air,GACity2,GA,AZCity3,AZ,439,4,6,1,379.31,Industrial
SHP000084,2025-07-06,2025-07-16,UPS Supply Chain,LTL,GACity1,GA,FLCity2,FL,204,7,10,1,330.72,Retail
SHP000085,2025-02-01,2025-02-05,XPO,Intermodal,OHCity2,OH,CACity2,CA,337,4,4,0,663.26,Consumer
SHP000086,2025-12-20,2025-12-25,DHL Supply Chain,Ground,TXCity1,TX,NJCity1,NJ,1298,4,5,1,1044.76,Retail
SHP000087,2025-07-17,2025-07-22,Old Dominion,Air,OHCity1,OH,OHCity3,OH,2101,3,5,1,2043.26,Healthcare
SHP000088,2025-05-01,2025-05-06,DHL Supply Chain,Ground,ILCity3,IL,NCCity1,NC,1967,4,5,1,2498.91,Industrial
SHP000089,2025-07-28,2025-07-29,XPO,Air,ILCity2,IL,GACity1,GA,2053,2,1,0,3117.22,Retail
SHP000090,2025-02-13,2025-02-16,AIT Logistics Partner,LTL,NJCity1,NJ,NCCity1,NC,1804,3,3,0,2612.22,Manufacturing
SHP000091,2025-11-14,2025-11-21,AIT Logistics Partner,Ground,AZCity2,AZ,OHCity2,OH,2285,7,7,0,4343.98,Healthcare
SHP000092,2025-07-10,2025-07-15,UPS Supply Chain,Air,NCCity1,NC,NJCity1,NJ,895,4,5,1,1227.24,Healthcare
SHP000093,2025-06-17,2025-06-21,DHL Supply Chain,FTL,NCCity1,NC,GACity3,GA,1110,2,4,1,2320.1,Retail
SHP000094,2025-02-22,2025-02-27,XPO,Ground,OHCity2,OH,TXCity1,TX,1026,2,5,1,1941.93,Retail
SHP000095,2025-11-04,2025-11-10,UPS Supply Chain,LTL,TXCity3,TX,GACity2,GA,387,6,6,0,496.87,Retail
SHP000096,2025-12-30,2026-01-06,XPO,Air,CACity1,CA,NCCity1,NC,971,6,7,1,824.08,Healthcare
SHP000097,2025-11-30,2025-12-02,XPO,Air,TXCity3,TX,NCCity2,NC,1420,3,2,0,1891.0,Retail
SHP000098,2025-09-11,2025-09-20,Old Dominion,FTL,GACity1,GA,TXCity3,TX,339,6,9,1,451.08,Consumer
SHP000099,2025-07-23,2025-07-31,AIT Logistics Partner,Intermodal,CACity2,CA,ILCity1,IL,1758,7,8,1,3664.92,Healthcare
SHP000100,2025-08-01,2025-08-05,Old Dominion,LTL,NCCity1,NC,FLCity1,FL,1570,5,4,0,2571.38,Industrial
SHP000101,2025-02-28,2025-03-04,Old Dominion,Air,ILCity1,IL,AZCity1,AZ,2446,2,4,1,4764.05,Retail
SHP000102,2025-11-25,2025-11-30,XPO,FTL,PACity1,PA,ILCity1,IL,2426,5,5,0,3903.08,Healthcare
SHP000103,2025-09-24,2025-09-27,UPS Supply Chain,Intermodal,NJCity1,NJ,ILCity1,IL,525,3,3,0,681.9,Industrial
SHP000104,2025-11-08,2025-11-17,DHL Supply Chain,Air,FLCity3,FL,TXCity1,TX,433,7,9,1,855.39,Consumer
SHP000105,2025-04-11,2025-04-16,Old Dominion,FTL,AZCity1,AZ,NCCity2,NC,2395,5,5,0,2595.17,Healthcare
SHP000106,2025-05-07,2025-05-14,AIT Logistics Partner,Ground,CACity3,CA,ILCity2,IL,248,7,7,0,483.36,Retail
SHP000107,2025-08-22,2025-08-29,UPS Supply Chain,LTL,AZCity2,AZ,NCCity3,NC,1800,6,7,1,2161.22,Healthcare
SHP000108,2025-08-13,2025-08-15,Old Dominion,LTL,OHCity1,OH,PACity2,PA,94,3,2,0,150.83,Consumer
SHP000109,2025-08-31,2025-09-05,Old Dominion,Intermodal,OHCity1,OH,ILCity2,IL,354,5,5,0,342.32,Consumer
SHP000110,2025-01-21,2025-01-28,XPO,FTL,PACity1,PA,TXCity1,TX,416,7,7,0,831.49,Consumer
SHP000111,2025-01-14,2025-01-16,Old Dominion,Intermodal,AZCity1,AZ,ILCity3,IL,873,2,2,0,847.77,Manufacturing
SHP000112,2025-11-09,2025-11-13,XPO,LTL,CACity1,CA,FLCity2,FL,1406,4,4,0,2763.49,Consumer
SHP000113,2025-10-31,2025-11-04,UPS Supply Chain,Air,OHCity2,OH,GACity1,GA,1386,4,4,0,1779.55,Healthcare
SHP000114,2025-03-28,2025-04-01,XPO,LTL,FLCity3,FL,AZCity3,AZ,2253,4,4,0,1944.66,Consumer
SHP000115,2025-10-02,2025-10-11,XPO,FTL,CACity1,CA,NJCity2,NJ,1601,7,9,1,1831.83,Healthcare
SHP000116,2025-04-28,2025-04-30,XPO,Intermodal,CACity3,CA,OHCity3,OH,1293,3,2,0,2412.44,Healthcare
SHP000117,2025-04-24,2025-04-27,XPO,Ground,TXCity1,TX,TXCity2,TX,1850,2,3,1,2484.54,Manufacturing
SHP000118,2025-01-12,2025-01-13,FedEx Freight,FTL,NCCity2,NC,TXCity3,TX,2402,2,1,0,3030.01,Manufacturing
SHP000119,2025-06-04,2025-06-10,Old Dominion,Air,AZCity1,AZ,NCCity1,NC,916,6,6,0,1168.91,Manufacturing
SHP000120,2025-02-19,2025-02-21,XPO,Ground,ILCity1,IL,OHCity3,OH,1184,2,2,0,1565.89,Consumer
SHP000121,2025-11-27,2025-12-06,AIT Logistics Partner,LTL,FLCity1,FL,NCCity1,NC,2545,6,9,1,5136.58,Retail
SHP000122,2025-09-30,2025-10-03,FedEx Freight,Ground,TXCity1,TX,TXCity3,TX,840,1,3,1,931.53,Consumer
SHP000123,2025-07-31,2025-08-05,XPO,Ground,GACity2,GA,ILCity3,IL,2591,3,5,1,2661.04,Retail
SHP000124,2025-01-04,2025-01-11,AIT Logistics Partner,LTL,OHCity1,OH,PACity1,PA,1985,5,7,1,1795.67,Retail
SHP000125,2025-11-26,2025-11-28,AIT Logistics Partner,Intermodal,NJCity3,NJ,GACity1,GA,1454,2,2,0,2847.89,Healthcare
SHP000126,2025-12-18,2025-12-25,UPS Supply Chain,Ground,PACity3,PA,AZCity1,AZ,1290,6,7,1,2108.64,Manufacturing
SHP000127,2025-04-14,2025-04-18,XPO,FTL,NJCity1,NJ,GACity2,GA,866,3,4,1,1683.69,Consumer
SHP000128,2025-09-29,2025-09-30,UPS Supply Chain,FTL,OHCity2,OH,OHCity1,OH,1870,1,1,0,3819.3,Industrial
SHP000129,2025-02-09,2025-02-11,FedEx Freight,FTL,NCCity1,NC,NCCity2,NC,214,2,2,0,178.68,Manufacturing
SHP000130,2025-01-22,2025-01-23,FedEx Freight,FTL,TXCity2,TX,TXCity1,TX,357,2,1,0,627.54,Consumer
SHP000131,2025-02-24,2025-02-27,FedEx Freight,Ground,CACity3,CA,AZCity3,AZ,912,3,3,0,862.35,Healthcare
SHP000132,2025-03-09,2025-03-11,Old Dominion,Intermodal,OHCity1,OH,CACity2,CA,1286,2,2,0,1562.34,Healthcare
SHP000133,2025-07-08,2025-07-15,FedEx Freight,LTL,NJCity1,NJ,TXCity2,TX,1258,4,7,1,2017.53,Consumer
SHP000134,2025-08-29,2025-09-04,AIT Logistics Partner,Ground,CACity3,CA,FLCity2,FL,2283,7,6,0,3506.52,Manufacturing
SHP000135,2025-09-26,2025-09-30,Old Dominion,Ground,AZCity2,AZ,TXCity3,TX,301,3,4,1,242.51,Manufacturing
SHP000136,2025-06-27,2025-07-04,XPO,Air,OHCity3,OH,NCCity1,NC,2447,6,7,1,4960.14,Industrial
SHP000137,2025-11-22,2025-11-27,AIT Logistics Partner,Intermodal,ILCity2,IL,CACity1,CA,2378,2,5,1,4335.13,Industrial
SHP000138,2025-08-05,2025-08-11,XPO,LTL,AZCity3,AZ,CACity3,CA,1603,7,6,0,1711.93,Manufacturing
SHP000139,2025-08-24,2025-08-26,DHL Supply Chain,Air,AZCity2,AZ,GACity3,GA,1507,3,2,0,2344.98,Consumer
SHP000140,2025-08-26,2025-09-01,XPO,LTL,FLCity3,FL,ILCity3,IL,2452,5,6,1,2698.01,Manufacturing
SHP000141,2025-05-17,2025-05-21,AIT Logistics Partner,Intermodal,PACity3,PA,GACity3,GA,718,4,4,0,1484.25,Healthcare
SHP000142,2025-06-17,2025-06-21,AIT Logistics Partner,Ground,ILCity1,IL,GACity2,GA,496,3,4,1,502.94,Manufacturing
SHP000143,2025-06-02,2025-06-08,FedEx Freight,Intermodal,ILCity1,IL,NJCity2,NJ,883,5,6,1,831.84,Industrial
SHP000144,2025-07-24,2025-07-28,XPO,LTL,TXCity1,TX,TXCity1,TX,2129,4,4,0,4417.99,Healthcare
SHP000145,2025-01-03,2025-01-10,DHL Supply Chain,LTL,NCCity1,NC,AZCity3,AZ,1841,7,7,0,3150.89,Consumer
SHP000146,2025-11-25,2025-11-30,AIT Logistics Partner,Ground,GACity2,GA,ILCity1,IL,1851,2,5,1,2234.01,Industrial
SHP000147,2025-08-05,2025-08-13,Old Dominion,FTL,ILCity3,IL,NJCity3,NJ,160,5,8,1,257.29,Manufacturing
SHP000148,2025-07-19,2025-07-24,UPS Supply Chain,Air,FLCity3,FL,TXCity1,TX,236,5,5,0,265.88,Consumer
SHP000149,2025-10-22,2025-10-27,AIT Logistics Partner,Intermodal,FLCity3,FL,CACity2,CA,2028,5,5,0,2972.74,Industrial
SHP000150,2025-12-17,2025-12-22,FedEx Freight,FTL,OHCity2,OH,GACity3,GA,2184,3,5,1,3912.66,Retail
SHP000151,2025-07-15,2025-07-18,Old Dominion,Intermodal,NJCity3,NJ,NJCity2,NJ,134,4,3,0,120.3,Retail
SHP000152,2025-07-25,2025-07-31,UPS Supply Chain,Air,GACity1,GA,NJCity3,NJ,1685,6,6,0,2360.27,Manufacturing
SHP000153,2025-04-26,2025-04-30,XPO,FTL,OHCity3,OH,PACity1,PA,1772,3,4,1,2495.92,Industrial
SHP000154,2025-05-17,2025-05-26,AIT Logistics Partner,Air,FLCity2,FL,GACity1,GA,1118,7,9,1,2322.93,Healthcare
SHP000155,2025-12-02,2025-12-07,DHL Supply Chain,Ground,FLCity3,FL,GACity2,GA,2044,4,5,1,2923.73,Manufacturing
SHP000156,2025-01-30,2025-02-02,XPO,FTL,NJCity1,NJ,AZCity3,AZ,655,2,3,1,975.85,Retail
SHP000157,2025-12-02,2025-12-07,UPS Supply Chain,Air,GACity1,GA,CACity2,CA,2571,4,5,1,2396.08,Healthcare
SHP000158,2025-07-26,2025-08-01,DHL Supply Chain,Ground,ILCity3,IL,GACity3,GA,2576,6,6,0,5045.03,Healthcare
SHP000159,2025-12-21,2025-12-24,FedEx Freight,FTL,GACity1,GA,OHCity2,OH,1876,3,3,0,3137.79,Industrial
SHP000160,2025-08-31,2025-09-04,UPS Supply Chain,LTL,GACity1,GA,ILCity2,IL,2063,5,4,0,2903.1,Manufacturing
SHP000161,2025-01-04,2025-01-08,Old Dominion,Intermodal,PACity2,PA,NCCity2,NC,1996,3,4,1,3402.48,Industrial
SHP000162,2025-04-03,2025-04-11,FedEx Freight,Intermodal,AZCity1,AZ,CACity3,CA,196,7,8,1,162.04,Industrial
SHP000163,2025-01-18,2025-01-23,AIT Logistics Partner,Intermodal,OHCity2,OH,ILCity2,IL,599,3,5,1,742.87,Consumer
SHP000164,2025-05-26,2025-06-01,FedEx Freight,Intermodal,PACity2,PA,GACity2,GA,1810,5,6,1,2039.95,Industrial
SHP000165,2025-09-15,2025-09-20,FedEx Freight,Intermodal,AZCity1,AZ,FLCity2,FL,913,4,5,1,1507.3,Healthcare
SHP000166,2025-11-22,2025-11-23,Old Dominion,FTL,ILCity3,IL,NCCity1,NC,1713,2,1,0,2979.73,Industrial
SHP000167,2025-01-04,2025-01-06,AIT Logistics Partner,Ground,NJCity3,NJ,CACity3,CA,2025,2,2,0,3222.36,Consumer
SHP000168,2025-03-17,2025-03-24,AIT Logistics Partner,LTL,AZCity3,AZ,NCCity1,NC,950,7,7,0,808.75,Retail
SHP000169,2025-08-04,2025-08-05,UPS Supply Chain,Intermodal,ILCity3,IL,TXCity3,TX,1590,2,1,0,3074.26,Healthcare
SHP000170,2025-08-04,2025-08-07,AIT Logistics Partner,FTL,NJCity1,NJ,ILCity2,IL,163,2,3,1,221.66,Consumer
SHP000171,2025-03-02,2025-03-09,AIT Logistics Partner,LTL,PACity3,PA,TXCity3,TX,1908,5,7,1,1693.13,Manufacturing
SHP000172,2025-10-08,2025-10-10,UPS Supply Chain,Ground,OHCity2,OH,AZCity1,AZ,2014,2,2,0,2166.98,Retail
SHP000173,2025-04-22,2025-04-23,AIT Logistics Partner,FTL,CACity1,CA,CACity2,CA,2014,1,1,0,1657.74,Manufacturing
SHP000174,2025-12-22,2025-12-25,AIT Logistics Partner,LTL,TXCity2,TX,FLCity3,FL,1280,3,3,0,2070.03,Healthcare
SHP000175,2025-01-06,2025-01-07,XPO,FTL,TXCity1,TX,TXCity2,TX,406,1,1,0,530.09,Consumer
SHP000176,2025-07-08,2025-07-17,UPS Supply Chain,Ground,TXCity2,TX,FLCity3,FL,2004,6,9,1,3366.61,Manufacturing
SHP000177,2025-07-17,2025-07-23,XPO,Ground,AZCity3,AZ,OHCity3,OH,2401,5,6,1,2962.96,Consumer
SHP000178,2025-01-08,2025-01-12,UPS Supply Chain,LTL,FLCity2,FL,NCCity3,NC,2474,3,4,1,3357.54,Industrial
SHP000179,2025-08-20,2025-08-23,Old Dominion,Air,NCCity3,NC,GACity1,GA,1396,4,3,0,1594.17,Healthcare
SHP000180,2025-03-17,2025-03-24,DHL Supply Chain,FTL,ILCity2,IL,NCCity2,NC,1500,4,7,1,2242.39,Manufacturing
SHP000181,2025-11-07,2025-11-11,XPO,FTL,GACity1,GA,NJCity2,NJ,1985,2,4,1,3415.87,Industrial
SHP000182,2025-10-02,2025-10-06,DHL Supply Chain,Intermodal,PACity3,PA,CACity2,CA,1033,4,4,0,1361.12,Industrial
SHP000183,2025-04-14,2025-04-17,AIT Logistics Partner,Intermodal,PACity2,PA,NCCity3,NC,867,3,3,0,797.51,Consumer
SHP000184,2025-09-22,2025-09-25,Old Dominion,Intermodal,FLCity1,FL,AZCity2,AZ,262,3,3,0,523.84,Industrial
SHP000185,2025-06-11,2025-06-16,DHL Supply Chain,Ground,CACity1,CA,ILCity1,IL,1492,6,5,0,1737.75,Manufacturing
SHP000186,2025-10-28,2025-11-03,XPO,LTL,NCCity1,NC,OHCity2,OH,1151,6,6,0,2305.62,Consumer
SHP000187,2025-05-11,2025-05-14,Old Dominion,Ground,NCCity1,NC,ILCity1,IL,903,2,3,1,1889.98,Retail
SHP000188,2025-12-28,2026-01-05,AIT Logistics Partner,LTL,PACity1,PA,FLCity3,FL,342,5,8,1,657.28,Retail
SHP000189,2025-10-17,2025-10-20,Old Dominion,Air,NJCity2,NJ,FLCity1,FL,2154,3,3,0,2824.01,Manufacturing
SHP000190,2025-05-12,2025-05-15,FedEx Freight,Intermodal,ILCity3,IL,TXCity3,TX,2344,4,3,0,4631.61,Industrial
SHP000191,2025-03-16,2025-03-19,XPO,FTL,TXCity3,TX,CACity2,CA,894,4,3,0,1501.88,Retail
SHP000192,2025-07-10,2025-07-16,Old Dominion,Air,OHCity2,OH,FLCity1,FL,588,4,6,1,757.04,Manufacturing
SHP000193,2025-04-10,2025-04-12,DHL Supply Chain,Intermodal,TXCity3,TX,OHCity1,OH,983,2,2,0,885.8,Industrial
SHP000194,2025-01-12,2025-01-19,XPO,Air,CACity2,CA,AZCity1,AZ,1932,7,7,0,3987.66,Healthcare
SHP000195,2025-04-24,2025-04-30,DHL Supply Chain,Air,ILCity2,IL,FLCity1,FL,818,7,6,0,1413.37,Healthcare
SHP000196,2025-05-07,2025-05-08,XPO,Intermodal,AZCity1,AZ,AZCity2,AZ,1190,2,1,0,1835.32,Industrial
SHP000197,2025-08-22,2025-08-27,FedEx Freight,Air,CACity3,CA,FLCity2,FL,708,5,5,0,1467.12,Healthcare
SHP000198,2025-04-14,2025-04-20,UPS Supply Chain,Ground,CACity2,CA,NJCity2,NJ,1151,4,6,1,2414.24,Industrial
SHP000199,2025-05-31,2025-06-02,XPO,FTL,ILCity1,IL,TXCity2,TX,1890,3,2,0,3494.86,Retail
SHP000200,2025-04-06,2025-04-12,UPS Supply Chain,Intermodal,PACity3,PA,NJCity1,NJ,246,4,6,1,488.45,Manufacturing
