shipment_id,ship_date,delivery_date,carrier,mode,origin_state,destination_state,distance_miles,promised_days,actual_days,delayed_flag,shipping_cost
SHP00044,2025-06-29,2025-07-03,XPO,FTL,CA,TX,1097,3,4,1,1811.29
SHP00045,2025-10-29,2025-10-31,DHL,LTL,NJ,GA,420,3,2,0,443.58
SHP00046,2025-01-14,2025-01-18,XPO,FTL,GA,NJ,334,3,4,1,1015.16
SHP00047,2025-10-04,2025-10-10,UPS,Air,GA,CA,623,4,6,1,1560.73
SHP00048,2025-02-05,2025-02-11,XPO,LTL,TX,CA,496,6,6,0,873.51
SHP00049,2025-05-13,2025-05-20,FedEx,Ground,GA,GA,1337,7,7,0,1995.43
SHP00050,2025-06-13,2025-06-20,FedEx,LTL,NJ,CA,1637,6,7,1,149.48
SHP00051,2025-12-26,2025-12-29,FedEx,LTL,GA,NJ,1318,3,3,0,680.24
SHP00052,2025-02-17,2025-02-25,Old Dominion,FTL,NJ,NJ,1933,7,8,1,944.01
SHP00053,2025-04-15,2025-04-24,FedEx,LTL,NJ,NJ,1882,7,9,1,1011.29
SHP00054,2025-02-27,2025-03-06,FedEx,LTL,GA,GA,1226,7,7,0,641.18
SHP00055,2025-04-30,2025-05-03,XPO,Air,GA,NJ,1966,3,3,0,1060.34
SHP00056,2025-06-03,2025-06-10,Old Dominion,Air,IL,CA,1309,7,7,0,803.73
SHP00057,2025-04-17,2025-04-23,XPO,Air,CA,NJ,557,5,6,1,495.41
SHP00058,2025-11-25,2025-12-04,FedEx,Ground,NJ,IL,842,7,9,1,578.27
SHP00059,2025-11-16,2025-11-20,DHL,Air,IL,CA,1530,4,4,0,239.15
SHP00060,2025-05-22,2025-05-31,Old Dominion,FTL,IL,IL,162,7,9,1,442.0
SHP00061,2025-07-05,2025-07-09,UPS,LTL,TX,CA,1921,5,4,0,1169.12
SHP00062,2025-02-19,2025-02-27,XPO,Air,NJ,TX,1238,6,8,1,793.58
SHP00063,2025-11-25,2025-11-28,FedEx,Air,TX,TX,1722,3,3,0,1750.71
SHP00064,2025-03-05,2025-03-07,DHL,Air,NJ,TX,1969,3,2,0,1049.07
SHP00065,2025-03-11,2025-03-16,UPS,LTL,TX,CA,1477,6,5,0,1853.8
SHP00066,2025-12-14,2025-12-21,DHL,Ground,TX,GA,1948,6,7,1,1092.63
SHP00067,2025-01-03,2025-01-06,Old Dominion,LTL,NJ,GA,363,4,3,0,443.58
SHP00068,2025-08-18,2025-08-24,XPO,LTL,TX,NJ,571,7,6,0,549.16
SHP00069,2025-08-02,2025-08-10,UPS,FTL,GA,NJ,1162,6,8,1,480.73
SHP00070,2025-11-08,2025-11-14,FedEx,LTL,TX,IL,320,4,6,1,355.77
SHP00071,2025-11-02,2025-11-03,DHL,LTL,IL,TX,100,2,1,0,503.03
SHP00072,2025-04-15,2025-04-21,DHL,Air,IL,GA,1118,5,6,1,1096.32
SHP00073,2025-10-16,2025-10-23,XPO,FTL,GA,CA,862,5,7,1,1690.43
SHP00074,2025-01-16,2025-01-23,DHL,LTL,NJ,NJ,1544,6,7,1,978.67
SHP00075,2025-10-27,2025-10-29,UPS,Air,CA,GA,1327,3,2,0,1283.56
SHP00076,2025-10-02,2025-10-08,Old Dominion,Air,NJ,CA,1837,4,6,1,186.78
SHP00077,2025-01-27,2025-01-30,DHL,Air,CA,NJ,1156,4,3,0,1680.45
SHP00078,2025-12-05,2025-12-09,UPS,FTL,IL,GA,1467,5,4,0,1131.43
SHP00079,2025-10-04,2025-10-09,DHL,FTL,CA,NJ,408,5,5,0,1202.45
SHP00080,2025-12-19,2025-12-26,DHL,FTL,CA,CA,266,5,7,1,1559.82
SHP00081,2025-11-02,2025-11-04,Old Dominion,LTL,IL,NJ,138,2,2,0,157.34
SHP00082,2025-11-14,2025-11-18,UPS,FTL,NJ,GA,325,4,4,0,996.39
SHP00083,2025-12-24,2025-12-27,DHL,Air,NJ,TX,1419,4,3,0,492.92
SHP00084,2025-03-04,2025-03-09,DHL,Ground,TX,TX,285,6,5,0,270.7
SHP00085,2025-03-31,2025-04-03,Old Dominion,Air,GA,CA,1559,3,3,0,1951.59
SHP00086,2025-03-15,2025-03-22,UPS,FTL,CA,GA,1397,6,7,1,1190.4
SHP00087,2025-04-15,2025-04-21,XPO,Ground,IL,NJ,966,7,6,0,1571.85
SHP00088,2025-09-04,2025-09-07,DHL,Air,NJ,CA,725,4,3,0,931.36
SHP00089,2025-01-25,2025-01-29,DHL,Air,CA,TX,1055,5,4,0,1981.56
SHP00090,2025-02-02,2025-02-11,DHL,Ground,IL,NJ,1896,7,9,1,1411.14
SHP00091,2025-11-02,2025-11-06,DHL,Ground,GA,IL,1651,3,4,1,782.56
SHP00092,2025-12-29,2026-01-04,UPS,Air,IL,GA,523,4,6,1,177.98
SHP00093,2025-01-08,2025-01-15,DHL,LTL,CA,NJ,1589,5,7,1,1737.02
SHP00094,2025-08-27,2025-09-02,UPS,FTL,CA,TX,1262,4,6,1,1160.65
SHP00095,2025-06-10,2025-06-14,Old Dominion,FTL,NJ,CA,1922,2,4,1,1258.79
SHP00096,2025-09-12,2025-09-14,XPO,FTL,CA,CA,546,2,2,0,281.38
SHP00097,2025-01-14,2025-01-18,Old Dominion,LTL,GA,GA,1457,4,4,0,1043.65
SHP00098,2025-12-15,2025-12-19,XPO,Ground,IL,TX,594,5,4,0,952.24
SHP00099,2025-09-18,2025-09-24,FedEx,LTL,NJ,CA,947,7,6,0,1334.77
SHP00100,2025-05-05,2025-05-10,FedEx,Ground,TX,TX,1786,6,5,0,443.45
SHP00101,2025-07-11,2025-07-18,FedEx,Air,IL,IL,1647,7,7,0,1467.76
SHP00102,2025-08-26,2025-08-29,DHL,FTL,GA,CA,1104,2,3,1,1919.29
SHP00103,2025-01-05,2025-01-12,Old Dominion,LTL,IL,GA,1130,7,7,0,1979.61
SHP00104,2025-09-05,2025-09-10,FedEx,LTL,TX,NJ,591,3,5,1,954.37
SHP00105,2025-07-17,2025-07-23,FedEx,Ground,IL,CA,1534,6,6,0,175.99
SHP00106,2025-03-30,2025-04-06,DHL,FTL,NJ,NJ,1314,6,7,1,1704.2
SHP00107,2025-08-27,2025-08-28,Old Dominion,LTL,GA,NJ,1995,2,1,0,1148.04
SHP00108,2025-11-29,2025-12-03,Old Dominion,Air,GA,IL,1967,2,4,1,1473.74
SHP00109,2025-02-15,2025-02-22,FedEx,Ground,TX,CA,1613,7,7,0,1540.28
SHP00110,2025-09-02,2025-09-03,Old Dominion,FTL,GA,NJ,1018,2,1,0,1378.61
SHP00111,2025-04-04,2025-04-09,XPO,LTL,TX,NJ,1864,5,5,0,1661.12
SHP00112,2025-12-14,2025-12-22,XPO,Air,TX,GA,438,7,8,1,1993.14
SHP00113,2025-09-04,2025-09-08,DHL,FTL,TX,TX,928,3,4,1,462.92
SHP00114,2025-06-24,2025-06-28,DHL,LTL,IL,GA,452,2,4,1,1945.23
SHP00115,2025-05-29,2025-06-01,UPS,Ground,IL,TX,1861,3,3,0,1610.13
SHP00116,2025-10-13,2025-10-20,DHL,LTL,CA,TX,1844,5,7,1,950.01
SHP00117,2025-05-15,2025-05-21,DHL,FTL,IL,TX,165,5,6,1,1737.38
SHP00118,2025-11-10,2025-11-14,Old Dominion,LTL,CA,IL,1064,2,4,1,803.91
SHP00119,2025-12-07,2025-12-12,Old Dominion,Ground,TX,CA,1468,3,5,1,463.51
SHP00120,2025-12-13,2025-12-18,XPO,FTL,CA,CA,1758,3,5,1,351.96
SHP00121,2025-10-03,2025-10-09,UPS,LTL,TX,NJ,1741,5,6,1,1986.88
SHP00122,2025-03-15,2025-03-24,XPO,LTL,GA,GA,983,7,9,1,419.53
SHP00123,2025-08-25,2025-08-29,UPS,FTL,CA,IL,1674,4,4,0,107.22
SHP00124,2025-11-09,2025-11-16,XPO,LTL,CA,IL,393,5,7,1,1397.35
SHP00125,2025-04-02,2025-04-05,Old Dominion,LTL,NJ,TX,457,2,3,1,681.16
SHP00126,2025-01-06,2025-01-08,UPS,FTL,GA,TX,515,2,2,0,994.42
SHP00127,2025-03-13,2025-03-18,UPS,Air,TX,GA,677,3,5,1,624.5
SHP00128,2025-03-06,2025-03-08,Old Dominion,Ground,IL,CA,1555,2,2,0,1115.77
SHP00129,2025-01-10,2025-01-14,DHL,Ground,GA,TX,692,5,4,0,1771.73
SHP00130,2025-01-21,2025-01-26,Old Dominion,FTL,GA,IL,1133,6,5,0,226.58
SHP00131,2025-10-10,2025-10-16,DHL,LTL,TX,NJ,1211,7,6,0,1809.34
SHP00132,2025-09-18,2025-09-21,Old Dominion,FTL,IL,CA,1152,3,3,0,263.55
SHP00133,2025-08-14,2025-08-18,FedEx,LTL,NJ,NJ,244,5,4,0,1255.63
SHP00134,2025-09-28,2025-10-02,Old Dominion,LTL,NJ,NJ,456,3,4,1,1129.32
SHP00135,2025-04-27,2025-04-30,DHL,LTL,IL,NJ,1349,4,3,0,376.76
SHP00136,2025-10-23,2025-10-26,UPS,FTL,GA,TX,1895,3,3,0,1325.38
SHP00137,2025-03-23,2025-03-28,UPS,FTL,CA,GA,1333,3,5,1,1073.67
SHP00138,2025-08-07,2025-08-09,Old Dominion,LTL,NJ,CA,1461,2,2,0,1772.12
SHP00139,2025-07-29,2025-08-03,DHL,LTL,NJ,TX,1060,6,5,0,332.12
SHP00140,2025-11-03,2025-11-06,UPS,Ground,CA,NJ,1060,4,3,0,1745.97
SHP00141,2025-03-30,2025-04-04,FedEx,FTL,NJ,NJ,388,6,5,0,1289.06
SHP00142,2025-11-12,2025-11-19,FedEx,Ground,NJ,GA,1641,6,7,1,1845.06
SHP00143,2025-12-05,2025-12-09,DHL,Air,CA,CA,775,5,4,0,1930.49
SHP00144,2025-10-22,2025-10-29,UPS,FTL,IL,TX,491,5,7,1,426.46
SHP00145,2025-09-22,2025-09-26,FedEx,Air,TX,NJ,1512,5,4,0,778.13
SHP00146,2025-11-29,2025-12-04,UPS,Air,TX,GA,145,4,5,1,303.28
SHP00147,2025-08-14,2025-08-18,UPS,LTL,GA,TX,326,3,4,1,651.26
SHP00148,2025-04-08,2025-04-10,XPO,Ground,GA,IL,1545,2,2,0,281.75
SHP00149,2025-12-21,2025-12-26,FedEx,Air,GA,TX,852,6,5,0,193.01
SHP00150,2025-12-31,2026-01-04,XPO,Ground,CA,NJ,1784,2,4,1,1809.66
SHP00151,2025-09-01,2025-09-08,FedEx,LTL,TX,NJ,1714,7,7,0,620.42
SHP00152,2025-10-29,2025-10-31,FedEx,FTL,GA,TX,566,3,2,0,1789.37
SHP00153,2025-03-31,2025-04-06,XPO,Ground,NJ,TX,773,7,6,0,1791.6
SHP00154,2025-11-27,2025-11-29,Old Dominion,FTL,CA,CA,612,3,2,0,411.96
SHP00155,2025-01-07,2025-01-13,XPO,LTL,IL,CA,1029,5,6,1,1486.29
SHP00156,2025-09-15,2025-09-20,Old Dominion,LTL,IL,CA,1220,3,5,1,1990.59
SHP00157,2025-06-26,2025-07-02,UPS,LTL,IL,TX,482,5,6,1,1227.4
SHP00158,2025-07-15,2025-07-23,FedEx,Air,TX,IL,527,6,8,1,1137.88
SHP00159,2025-06-03,2025-06-06,DHL,LTL,CA,NJ,145,2,3,1,1726.78
SHP00160,2025-07-07,2025-07-12,FedEx,LTL,GA,NJ,1032,6,5,0,160.45
SHP00161,2025-09-07,2025-09-14,Old Dominion,Ground,CA,GA,613,7,7,0,1590.48
SHP00162,2025-03-16,2025-03-23,Old Dominion,FTL,CA,IL,1010,6,7,1,1480.11
SHP00163,2025-11-24,2025-11-26,FedEx,Ground,GA,NJ,1092,3,2,0,1821.81
SHP00164,2025-08-26,2025-08-27,FedEx,LTL,CA,IL,1204,2,1,0,1051.94
SHP00165,2025-06-25,2025-07-01,XPO,FTL,CA,GA,1129,4,6,1,435.46
SHP00166,2025-11-22,2025-12-01,XPO,LTL,GA,TX,691,7,9,1,504.89
SHP00167,2025-03-10,2025-03-19,Old Dominion,Ground,NJ,TX,1614,7,9,1,372.85
SHP00168,2025-09-29,2025-10-02,UPS,LTL,NJ,NJ,1380,2,3,1,554.29
SHP00169,2025-01-20,2025-01-24,UPS,LTL,GA,NJ,286,4,4,0,1028.35
SHP00170,2025-02-08,2025-02-15,XPO,LTL,GA,NJ,737,5,7,1,1469.17
SHP00171,2025-06-18,2025-06-19,Old Dominion,LTL,GA,CA,600,2,1,0,581.44
SHP00172,2025-03-22,2025-03-25,FedEx,LTL,TX,TX,1663,2,3,1,282.81
SHP00173,2025-05-09,2025-05-12,XPO,LTL,TX,TX,1589,2,3,1,1024.48
SHP00174,2025-11-30,2025-12-06,Old Dominion,FTL,GA,IL,710,6,6,0,318.88
SHP00175,2025-06-01,2025-06-10,XPO,LTL,CA,GA,441,7,9,1,303.57
SHP00176,2025-09-01,2025-09-06,UPS,Ground,CA,TX,244,5,5,0,756.16
SHP00177,2025-04-14,2025-04-22,Old Dominion,Air,GA,IL,1940,6,8,1,1206.34
SHP00178,2025-07-11,2025-07-15,DHL,LTL,CA,GA,881,4,4,0,337.94
SHP00179,2025-03-12,2025-03-18,FedEx,LTL,GA,CA,445,7,6,0,1008.34
SHP00180,2025-06-04,2025-06-09,Old Dominion,Air,IL,CA,1153,4,5,1,239.96
SHP00181,2025-09-01,2025-09-07,DHL,Air,GA,TX,1896,6,6,0,1745.81
SHP00182,2025-02-12,2025-02-19,UPS,Air,NJ,IL,327,6,7,1,1883.44
SHP00183,2025-04-01,2025-04-04,UPS,Air,NJ,GA,428,4,3,0,848.7
SHP00184,2025-08-11,2025-08-17,Old Dominion,Air,IL,NJ,1269,7,6,0,1557.15
SHP00185,2025-11-12,2025-11-18,DHL,Ground,CA,IL,1348,6,6,0,534.2
SHP00186,2025-12-03,2025-12-07,Old Dominion,FTL,CA,GA,1250,5,4,0,829.71
SHP00187,2025-10-20,2025-10-23,XPO,Air,CA,IL,857,3,3,0,1759.76
SHP00188,2025-09-13,2025-09-18,Old Dominion,Ground,GA,IL,997,3,5,1,867.66
SHP00189,2025-05-17,2025-05-23,Old Dominion,FTL,CA,GA,1358,7,6,0,1824.71
SHP00190,2025-11-23,2025-11-30,DHL,FTL,GA,NJ,667,5,7,1,1652.75
SHP00191,2025-09-26,2025-10-01,FedEx,Air,NJ,CA,1340,6,5,0,472.46
SHP00192,2025-10-15,2025-10-20,DHL,Air,GA,IL,1865,6,5,0,1112.46
SHP00193,2025-12-27,2026-01-02,Old Dominion,Air,NJ,TX,1438,5,6,1,1902.45
SHP00194,2025-04-14,2025-04-19,FedEx,LTL,GA,IL,1300,5,5,0,713.25
SHP00195,2025-04-11,2025-04-16,Old Dominion,Ground,GA,TX,1215,4,5,1,233.22
SHP00196,2025-12-26,2025-12-29,DHL,FTL,NJ,GA,1469,2,3,1,1672.55
SHP00197,2025-06-25,2025-07-03,Old Dominion,Air,TX,GA,1631,7,8,1,1403.0
SHP00198,2025-09-01,2025-09-03,FedEx,Air,CA,GA,1353,2,2,0,1152.92
SHP00199,2025-04-13,2025-04-22,Old Dominion,Ground,GA,NJ,717,7,9,1,1365.9
SHP00200,2025-11-07,2025-11-12,Old Dominion,FTL,GA,GA,1422,6,5,0,1808.6
SHP00201,2025-04-20,2025-04-23,XPO,LTL,IL,NJ,303,2,3,1,797.04
SHP00202,2025-07-05,2025-07-08,DHL,Ground,GA,CA,1889,3,3,0,181.32
SHP00203,2025-04-17,2025-04-20,Old Dominion,LTL,IL,NJ,180,2,3,1,1940.5
SHP00204,2025-01-02,2025-01-08,UPS,FTL,IL,IL,527,5,6,1,1704.57
SHP00205,2025-01-07,2025-01-12,FedEx,Ground,NJ,IL,865,3,5,1,235.58
SHP00206,2025-07-26,2025-07-29,Old Dominion,Air,GA,GA,1400,3,3,0,356.25
SHP00207,2025-01-21,2025-01-26,DHL,FTL,CA,NJ,1677,3,5,1,759.34
SHP00208,2025-06-16,2025-06-23,DHL,LTL,IL,GA,920,5,7,1,1175.42
SHP00209,2025-08-15,2025-08-18,FedEx,FTL,CA,CA,1352,3,3,0,1069.85
SHP00210,2025-02-16,2025-02-19,UPS,FTL,CA,IL,866,4,3,0,1966.33
SHP00211,2025-12-12,2025-12-14,DHL,LTL,NJ,GA,1141,2,2,0,583.91
SHP00212,2025-05-25,2025-05-29,DHL,FTL,TX,IL,1720,4,4,0,1572.74
SHP00213,2025-05-10,2025-05-17,Old Dominion,FTL,CA,NJ,406,7,7,0,882.88
SHP00214,2025-05-02,2025-05-06,Old Dominion,LTL,IL,GA,140,2,4,1,1921.99
SHP00215,2025-03-13,2025-03-19,UPS,LTL,IL,TX,637,5,6,1,871.75
SHP00216,2025-07-17,2025-07-26,FedEx,LTL,GA,IL,610,7,9,1,780.8
SHP00217,2025-08-30,2025-09-03,DHL,Air,NJ,IL,270,5,4,0,341.87
SHP00218,2025-10-19,2025-10-25,XPO,Ground,IL,IL,142,5,6,1,641.17
SHP00219,2025-05-12,2025-05-15,FedEx,Air,CA,IL,1430,2,3,1,374.69
SHP00220,2025-04-16,2025-04-21,Old Dominion,FTL,NJ,CA,1648,3,5,1,1017.06
SHP00221,2025-05-19,2025-05-26,Old Dominion,FTL,CA,TX,1071,5,7,1,1878.01
SHP00222,2025-10-20,2025-10-26,XPO,Ground,GA,GA,1949,7,6,0,1134.8
SHP00223,2025-11-13,2025-11-15,UPS,Ground,GA,NJ,1900,3,2,0,536.55
SHP00224,2025-11-07,2025-11-13,FedEx,Air,IL,IL,874,6,6,0,1009.99
SHP00225,2025-06-20,2025-06-26,Old Dominion,Air,TX,GA,1393,5,6,1,160.37
SHP00226,2025-02-19,2025-02-26,DHL,LTL,GA,IL,1676,7,7,0,1131.99
SHP00227,2025-05-11,2025-05-17,UPS,Ground,NJ,GA,358,6,6,0,1987.65
SHP00228,2025-01-06,2025-01-14,Old Dominion,Ground,NJ,GA,1696,6,8,1,294.68
SHP00229,2025-03-14,2025-03-16,FedEx,FTL,GA,TX,1415,2,2,0,1584.23
SHP00230,2025-08-11,2025-08-18,UPS,Ground,CA,CA,1265,5,7,1,1610.75
SHP00231,2025-02-21,2025-02-24,UPS,LTL,NJ,NJ,1672,2,3,1,1330.62
SHP00232,2025-03-07,2025-03-12,UPS,Air,TX,NJ,662,3,5,1,1043.81
SHP00233,2025-11-03,2025-11-09,XPO,LTL,IL,CA,1887,7,6,0,1256.56
SHP00234,2025-04-15,2025-04-16,XPO,FTL,IL,GA,1481,2,1,0,848.25
SHP00235,2025-02-08,2025-02-13,Old Dominion,Ground,GA,IL,644,6,5,0,796.57
SHP00236,2025-08-30,2025-09-01,FedEx,FTL,NJ,GA,1575,3,2,0,286.92
SHP00237,2025-11-11,2025-11-14,UPS,LTL,CA,IL,1157,2,3,1,324.8
SHP00238,2025-03-30,2025-04-02,FedEx,Ground,NJ,GA,952,2,3,1,1267.43
SHP00239,2025-05-05,2025-05-11,Old Dominion,FTL,GA,TX,1684,7,6,0,499.29
SHP00240,2025-01-01,2025-01-08,DHL,Air,IL,CA,561,5,7,1,684.61
SHP00241,2025-08-25,2025-09-03,DHL,Air,CA,CA,1839,7,9,1,907.5
SHP00242,2025-01-14,2025-01-19,Old Dominion,Ground,GA,IL,1587,4,5,1,1950.13
SHP00243,2025-03-17,2025-03-25,DHL,FTL,GA,IL,490,6,8,1,1587.09
SHP00244,2025-09-03,2025-09-04,FedEx,Ground,GA,GA,1880,2,1,0,1169.83
SHP00245,2025-01-23,2025-01-25,UPS,LTL,IL,GA,389,2,2,0,1788.06
SHP00246,2025-02-03,2025-02-12,FedEx,Ground,IL,GA,1108,7,9,1,1357.0
SHP00247,2025-03-13,2025-03-22,DHL,LTL,CA,IL,1566,7,9,1,376.49
SHP00248,2025-05-08,2025-05-10,DHL,LTL,IL,IL,691,3,2,0,806.02
SHP00249,2025-03-17,2025-03-25,FedEx,Ground,GA,IL,963,6,8,1,1090.82
SHP00250,2025-04-25,2025-04-26,FedEx,Air,NJ,GA,1973,2,1,0,237.12
SHP00251,2025-09-19,2025-09-23,FedEx,LTL,IL,NJ,1735,4,4,0,1538.99
SHP00252,2025-05-25,2025-06-01,DHL,Air,NJ,CA,967,6,7,1,1400.98
SHP00253,2025-05-28,2025-05-31,FedEx,LTL,TX,TX,1729,3,3,0,1305.72
SHP00254,2025-09-02,2025-09-06,UPS,LTL,IL,CA,1570,3,4,1,1623.72
SHP00255,2025-10-27,2025-10-29,DHL,FTL,NJ,GA,1693,2,2,0,528.77
SHP00256,2025-12-25,2025-12-31,DHL,Ground,IL,TX,742,5,6,1,1357.95
SHP00257,2025-11-06,2025-11-15,DHL,Air,NJ,NJ,103,7,9,1,1623.07
SHP00258,2025-06-30,2025-07-04,DHL,LTL,GA,CA,131,5,4,0,995.39
SHP00259,2025-02-13,2025-02-16,UPS,LTL,NJ,IL,836,4,3,0,753.13
SHP00260,2025-03-09,2025-03-17,FedEx,Ground,TX,CA,794,7,8,1,193.97
SHP00261,2025-01-27,2025-02-02,FedEx,Ground,GA,IL,282,7,6,0,1347.91
SHP00262,2025-02-01,2025-02-09,UPS,LTL,TX,TX,1221,7,8,1,628.4
SHP00263,2025-07-22,2025-07-26,DHL,LTL,IL,GA,1740,2,4,1,1711.55
SHP00264,2025-05-12,2025-05-21,DHL,Air,NJ,NJ,1448,7,9,1,1360.15
SHP00265,2025-06-27,2025-07-02,XPO,FTL,NJ,CA,785,4,5,1,173.62
SHP00266,2025-01-15,2025-01-19,UPS,Air,GA,GA,678,4,4,0,1781.28
SHP00267,2025-11-11,2025-11-15,DHL,Air,IL,NJ,296,5,4,0,278.79
SHP00268,2025-08-08,2025-08-15,Old Dominion,Air,TX,CA,659,7,7,0,1041.64
SHP00269,2025-08-28,2025-09-04,DHL,FTL,IL,NJ,522,7,7,0,1585.85
SHP00270,2025-01-05,2025-01-11,XPO,Air,CA,IL,312,7,6,0,1832.33
SHP00271,2025-10-03,2025-10-06,Old Dominion,Ground,CA,IL,556,2,3,1,764.64
SHP00272,2025-04-18,2025-04-26,XPO,Ground,CA,GA,941,7,8,1,1929.62
SHP00273,2025-10-01,2025-10-07,DHL,Ground,CA,CA,193,5,6,1,731.81
SHP00274,2025-02-02,2025-02-08,DHL,Ground,CA,GA,233,7,6,0,163.47
SHP00275,2025-10-08,2025-10-16,DHL,FTL,NJ,CA,1388,7,8,1,1972.86
SHP00276,2025-01-07,2025-01-12,UPS,Ground,TX,NJ,833,4,5,1,385.27
SHP00277,2025-11-30,2025-12-05,XPO,FTL,TX,IL,115,4,5,1,1499.31
SHP00278,2025-12-25,2025-12-31,DHL,LTL,GA,TX,902,7,6,0,206.22
SHP00279,2025-07-22,2025-07-26,DHL,Ground,GA,IL,1585,3,4,1,1614.64
SHP00280,2025-05-30,2025-06-03,UPS,LTL,GA,CA,486,4,4,0,1149.78
SHP00281,2025-05-11,2025-05-16,Old Dominion,Ground,GA,TX,1481,6,5,0,1548.58
SHP00282,2025-06-15,2025-06-21,Old Dominion,FTL,GA,GA,1662,6,6,0,1643.6
SHP00283,2025-10-16,2025-10-17,DHL,LTL,GA,TX,635,2,1,0,1708.85
SHP00284,2025-11-14,2025-11-17,Old Dominion,Ground,NJ,GA,1194,2,3,1,1632.93
SHP00285,2025-07-11,2025-07-15,DHL,FTL,CA,NJ,1668,3,4,1,1969.66
SHP00286,2025-12-05,2025-12-10,FedEx,Air,TX,CA,595,3,5,1,391.0
SHP00287,2025-12-04,2025-12-11,DHL,Air,CA,IL,958,5,7,1,1140.88
